SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
216,128kB,2,4,16,3,20,8,0.01979,1023780.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
217,128kB,4,2,8,5,30,0,0.006806,915994.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
218,64kB,8,2,16,5,30,0,0.006806,843016.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
219,128kB,2,4,16,5,30,0,0.006804,924755.0,4081647.0,9.159582,0.109175,0.002395,184677.079545,0.000936,182399.526224,0.987167,166518.297
220,64kB,4,4,16,3,20,0,0.004117,904494.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
221,64kB,2,2,8,5,30,8,0.032926,1041340.0,19751723.0,8.912943,0.112196,0.000533,186503.202273,0.000188,181785.921098,0.980469,167736.063745
222,64kB,2,2,16,3,30,8,0.019824,1034713.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
223,128kB,2,4,8,3,20,4,0.013806,1037856.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
224,128kB,4,2,16,3,20,4,0.013807,1003140.0,8282363.0,5.428801,0.184203,0.000754,146237.575,0.000271,142198.245283,0.980469,134195.160359
225,64kB,4,4,16,5,20,8,0.032891,1028488.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
226,128kB,8,4,16,5,30,0,0.006804,925855.0,4081647.0,9.159582,0.109175,0.002395,184677.079545,0.000936,182399.526224,0.987167,166518.297
227,64kB,8,4,16,3,30,8,0.019823,1054684.0,11891605.0,5.366073,0.186356,0.000533,180058.731818,0.000186,175694.854167,0.987217,167385.728088
228,128kB,2,4,8,5,30,0,0.006804,901253.0,4081647.0,9.159582,0.109175,0.002395,184677.079545,0.000936,182399.526224,0.987167,166518.297
229,128kB,4,2,8,3,30,8,0.019824,1025628.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
230,64kB,4,2,8,5,30,8,0.032926,1029418.0,19751723.0,8.912943,0.112196,0.000533,186503.202273,0.000188,181785.921098,0.980469,167736.063745
231,64kB,4,2,8,3,30,4,0.013841,1007446.0,8302873.0,5.442244,0.183748,0.000754,179835.202273,0.000271,175486.777015,0.980469,167950.25
232,128kB,4,4,8,5,30,8,0.032925,1035010.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
233,128kB,4,4,8,3,30,0,0.004151,907353.0,2489896.0,5.58755,0.178969,0.002395,180418.652273,0.000936,175116.601399,0.987167,167226.772
234,64kB,8,4,16,5,30,4,0.022953,999449.0,13768884.0,9.025024,0.110803,0.000754,185453.75,0.000268,182831.697917,0.987217,167096.825697
235,128kB,2,2,16,5,30,4,0.022953,1002016.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
236,128kB,8,4,8,5,20,8,0.032891,1040999.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
